A P C D Y
0 1943 1942 0 18648.8333333333
0 1943 1943 0 19946.5
0 1944 1943 0 19853.6666666667
0 1944 1944 0 21265
0 1945 1944 0 21235.6666666667
0 1945 1945 0 22407
0 1946 1945 0 22315.6666666667
0 1946 1946 0 22549
0 1947 1946 0 22457.8333333333
0 1947 1947 0 21672
0 1948 1947 0 21603.3333333333
0 1948 1948 0 20108.5
0 1949 1948 0 20058.6666666667
0 1949 1949 0 18978
0 1950 1949 0 18906.5
0 1950 1950 0 19141.5
0 1951 1950 0 19086.6666666667
0 1951 1951 0 18093
0 1952 1951 0 18055.5
0 1952 1952 0 18285.5
0 1953 1952 0 18259.6666666667
0 1953 1953 0 18522.5
0 1954 1953 0 18496
0 1954 1954 0 18184
0 1955 1954 0 18148.6666666667
0 1955 1955 0 18181
0 1956 1955 0 18142.3333333333
0 1956 1956 0 18226.5
0 1957 1956 0 18185
0 1957 1957 0 17885.5
0 1958 1957 0 17870.6666666667
0 1958 1958 0 17825.5
0 1959 1958 0 17815.8333333333
0 1959 1959 0 17681
0 1960 1959 0 17679.3333333333
0 1960 1960 0 18106
0 1961 1960 0 18096.3333333333
0 1961 1961 0 18323
0 1962 1961 0 18320.5
0 1962 1962 0 18716.5
0 1963 1962 0 18703.1666666667
0 1963 1963 0 19799.5
0 1964 1963 0 19784.3333333333
0 1964 1964 0 19910.5
0 1965 1964 0 19893.3333333333
0 1965 1965 0 20553
0 1966 1965 0 20538.6666666667
0 1966 1966 0 21175.5
0 1967 1966 0 21176.5
0 1967 1967 0 19567
0 1968 1967 0 19547.6666666667
0 1968 1968 0 17802
0 1969 1968 0 17814.5
0 1969 1969 0 17043.5
0 1970 1969 0 17054.5
0 1970 1970 0 17054
0 1971 1970 0 17092.3333333333
0 1971 1971 0 18036.5
0 1972 1971 0 18058.1666666667
0 1972 1972 0 18266
0 1973 1972 0 18304.6666666667
0 1973 1973 0 17260.5
0 1974 1973 0 17321.3333333333
0 1974 1974 0 17061.5
0 1975 1974 0 17141.6666666667
0 1975 1975 0 17510.5
0 1976 1975 0 17544.8333333333
0 1976 1976 0 15733.5
0 1977 1976 0 15770.8333333333
0 1977 1977 0 15045.5
0 1978 1977 0 15081.8333333333
0 1978 1978 0 15097
0 1979 1978 0 15127.1666666667
0 1979 1979 0 14443
0 1980 1979 0 14469
0 1980 1980 0 13980
0 1981 1980 0 13999.6666666667
0 1981 1981 0 12997
0 1982 1981 0 13014.6666666667
0 1982 1982 0 12839.5
0 1983 1982 0 12855.6666666667
0 1983 1983 0 12457.5
0 1984 1983 0 12468.6666666667
0 1984 1984 0 12651
0 1985 1984 0 12675.1666666667
0 1985 1985 0 13193.5
0 1986 1985 0 13227.6666666667
0 1986 1986 0 13470
0 1987 1986 0 13500.3333333333
0 1987 1987 0 13588.5
0 1988 1987 0 13612.6666666667
0 1988 1988 0 14250
0 1989 1988 0 14267.1666666667
0 1989 1989 0 14932.5
0 1990 1989 0 14948.8333333333
0 1990 1990 0 15431.5
0 1991 1990 0 15460.6666666667
0 1991 1991 0 15690.5
0 1992 1991 0 15719
0 1992 1992 0 16447.5
0 1993 1992 0 16473.8333333333
0 1993 1993 0 16395.5
0 1994 1993 0 16424.8333333333
0 1994 1994 0 17047
0 1995 1994 0 17100.6666666667
0 1995 1995 0 17025.5
0 1996 1995 0 17069.1666666667
0 1996 1996 0 16469.5
0 1997 1996 0 16501.8333333333
0 1997 1997 0 16434
0 1998 1997 0 16467.6666666667
0 1998 1998 0 16066
0 1999 1998 0 16104.8333333333
0 1999 1999 0 16198.5
0 2000 1999 0 16238.6666666667
0 2000 2000 0 16336.5
0 2001 2000 0 16388.1666666667
0 2001 2001 0 15995.5
0 2002 2001 0 16032.8333333333
0 2002 2002 0 15589.5
0 2003 2002 0 15626.5
0 2003 2003 0 15852
1 1943 1941 0 16530.8333333333
1 1943 1942 0 18575.1666666667
1 1944 1942 0 18484.5
1 1944 1943 0 19760.8333333333
1 1945 1943 0 19699.6666666667
1 1945 1944 0 21206.3333333333
1 1946 1944 0 21166.6666666667
1 1946 1945 0 22224.3333333333
1 1947 1945 0 22109.8333333333
1 1947 1946 0 22366.6666666667
1 1948 1946 0 22256.1666666667
1 1948 1947 0 21534.6666666667
1 1949 1947 0 21454.1666666667
1 1949 1948 0 20008.8333333333
1 1950 1948 0 20022.3333333333
1 1950 1949 0 18835
1 1951 1949 0 18742.6666666667
1 1951 1950 0 19031.8333333333
1 1952 1950 0 18963
1 1952 1951 0 18018
1 1953 1951 0 17972.6666666667
1 1953 1952 0 18233.8333333333
1 1954 1952 0 18203
1 1954 1953 0 18469.5
1 1955 1953 0 18429.1666666667
1 1955 1954 0 18113.3333333333
1 1956 1954 0 18055.3333333333
1 1956 1955 0 18103.6666666667
1 1957 1955 0 18031.3333333333
1 1957 1956 0 18143.5
1 1958 1956 0 18090.1666666667
1 1958 1957 0 17855.8333333333
1 1959 1957 0 17842
1 1959 1958 0 17806.1666666667
1 1960 1958 0 17813.5
1 1960 1959 0 17677.6666666667
1 1961 1959 0 17678.1666666667
1 1961 1960 0 18086.6666666667
1 1962 1960 0 18082.1666666667
1 1962 1961 0 18318
1 1963 1961 0 18314.5
1 1963 1962 0 18689.8333333333
1 1964 1962 0 18677.6666666667
1 1964 1963 0 19769.1666666667
1 1965 1963 0 19755.3333333333
1 1965 1964 0 19876.1666666667
1 1966 1964 0 19859.3333333333
1 1966 1965 0 20524.3333333333
1 1967 1965 0 20500.5
1 1967 1966 0 21177.5
1 1968 1966 0 21163.6666666667
1 1968 1967 0 19528.3333333333
1 1969 1967 0 19516.5
1 1969 1968 0 17827
1 1970 1968 0 17827.8333333333
1 1970 1969 0 17065.5
1 1971 1969 0 17092.3333333333
1 1971 1970 0 17130.6666666667
1 1972 1970 0 17184.1666666667
1 1972 1971 0 18079.8333333333
1 1973 1971 0 18117
1 1973 1972 0 18343.3333333333
1 1974 1972 0 18381.6666666667
1 1974 1973 0 17382.1666666667
1 1975 1973 0 17422.8333333333
1 1975 1974 0 17221.8333333333
1 1976 1974 0 17316.8333333333
1 1976 1975 0 17579.1666666667
1 1977 1975 0 17629.5
1 1977 1976 0 15808.1666666667
1 1978 1976 0 15862.1666666667
1 1978 1977 0 15118.1666666667
1 1979 1977 0 15166.5
1 1979 1978 0 15157.3333333333
1 1980 1978 0 15187.8333333333
1 1980 1979 0 14495
1 1981 1979 0 14524.3333333333
1 1981 1980 0 14019.3333333333
1 1982 1980 0 14042
1 1982 1981 0 13032.3333333333
1 1983 1981 0 13052.1666666667
1 1983 1982 0 12871.8333333333
1 1984 1982 0 12889.6666666667
1 1984 1983 0 12479.8333333333
1 1985 1983 0 12504.3333333333
1 1985 1984 0 12699.3333333333
1 1986 1984 0 12745
1 1986 1985 0 13261.8333333333
1 1987 1985 0 13306.8333333333
1 1987 1986 0 13530.6666666667
1 1988 1986 0 13564.1666666667
1 1988 1987 0 13636.8333333333
1 1989 1987 0 13667
1 1989 1988 0 14284.3333333333
1 1990 1988 0 14316.6666666667
1 1990 1989 0 14965.1666666667
1 1991 1989 0 15012.5
1 1991 1990 0 15489.8333333333
1 1992 1990 0 15535.3333333333
1 1992 1991 0 15747.5
1 1993 1991 0 15793
1 1993 1992 0 16500.1666666667
1 1994 1992 0 16550.6666666667
1 1994 1993 0 16454.1666666667
1 1995 1993 0 16527.5
1 1995 1994 0 17154.3333333333
1 1996 1994 0 17235.3333333333
1 1996 1995 0 17112.8333333333
1 1997 1995 0 17179.1666666667
1 1997 1996 0 16534.1666666667
1 1998 1996 0 16584.1666666667
1 1998 1997 0 16501.3333333333
1 1999 1997 0 16552.3333333333
1 1999 1998 0 16143.6666666667
1 2000 1998 0 16202.1666666667
1 2000 1999 0 16278.8333333333
1 2001 1999 0 16336.6666666667
1 2001 2000 0 16439.8333333333
1 2002 2000 0 16508
1 2002 2001 0 16070.1666666667
1 2003 2001 0 16113.5
1 2003 2002 0 15663.5
2 1943 1940 0 16189.1666666667
2 1943 1941 0 16516.6666666667
2 1944 1941 0 16493.6666666667
2 1944 1942 0 18467.5
2 1945 1942 0 18517.1666666667
2 1945 1943 0 19731.3333333333
2 1946 1943 0 19754
2 1946 1944 0 21156.3333333333
2 1947 1944 0 21131.8333333333
2 1947 1945 0 22086.6666666667
2 1948 1945 0 22041.8333333333
