A	P	D	Y
0	1943	0	18649
0	1943	0	19947
0	1944	0	19854
0	1944	0	21265
0	1945	0	21236
0	1945	0	22407
0	1946	0	22316
0	1946	0	22549
0	1947	0	22458
0	1947	0	21672
0	1948	0	21604
0	1948	0	20109
0	1949	0	20059
0	1949	0	18978
0	1950	0	18907
0	1950	0	19142
0	1951	0	19087
0	1951	0	18093
0	1952	0	18056
0	1952	0	18286
0	1953	0	18260
0	1953	0	18523
0	1954	0	18496
0	1954	0	18184
0	1955	0	18149
0	1955	0	18181
0	1956	0	18143
0	1956	0	18227
0	1957	0	18185
0	1957	0	17886
0	1958	0	17871
0	1958	0	17826
0	1959	0	17816
0	1959	0	17681
0	1960	0	17680
0	1960	0	18106
0	1961	0	18097
0	1961	0	18323
0	1962	0	18321
0	1962	0	18717
0	1963	0	18704
0	1963	0	19800
0	1964	0	19785
0	1964	0	19911
0	1965	0	19894
0	1965	0	20553
0	1966	0	20539
0	1966	0	21176
0	1967	0	21177
0	1967	0	19567
0	1968	0	19548
0	1968	0	17802
0	1969	0	17815
0	1969	0	17044
0	1970	0	17055
0	1970	0	17054
0	1971	0	17093
0	1971	0	18037
0	1972	0	18059
0	1972	0	18266
0	1973	0	18305
0	1973	0	17261
0	1974	0	17322
0	1974	0	17062
0	1975	0	17142
0	1975	0	17511
0	1976	0	17545
0	1976	0	15734
0	1977	0	15771
0	1977	0	15046
0	1978	0	15082
0	1978	0	15097
0	1979	0	15128
0	1979	0	14443
0	1980	0	14469
0	1980	0	13980
0	1981	0	14000
0	1981	0	12997
0	1982	0	13015
0	1982	0	12840
0	1983	0	12856
0	1983	0	12458
0	1984	0	12469
0	1984	0	12651
0	1985	0	12676
0	1985	0	13194
0	1986	0	13228
0	1986	0	13470
0	1987	0	13501
0	1987	0	13589
0	1988	0	13613
0	1988	0	14250
0	1989	0	14268
0	1989	0	14933
0	1990	0	14949
0	1990	0	15432
0	1991	0	15461
0	1991	0	15691
0	1992	0	15719
0	1992	0	16448
0	1993	0	16474
0	1993	0	16396
0	1994	0	16425
0	1994	0	17047
0	1995	0	17101
0	1995	0	17026
0	1996	0	17070
0	1996	0	16470
0	1997	0	16502
0	1997	0	16434
0	1998	0	16468
0	1998	0	16066
0	1999	0	16105
0	1999	0	16199
0	2000	0	16239
0	2000	0	16337
0	2001	0	16389
0	2001	0	15996
0	2002	0	16033
0	2002	0	15590
0	2003	0	15627
0	2003	0	15852
1	1943	0	16531
1	1943	0	18576
1	1944	0	18485
1	1944	0	19761
1	1945	0	19700
1	1945	0	21207
1	1946	0	21167
1	1946	0	22225
1	1947	0	22110
1	1947	0	22367
1	1948	0	22257
1	1948	0	21535
1	1949	0	21455
1	1949	0	20009
1	1950	0	20023
1	1950	0	18835
1	1951	0	18743
1	1951	0	19032
1	1952	0	18963
1	1952	0	18018
1	1953	0	17973
1	1953	0	18234
1	1954	0	18203
1	1954	0	18470
1	1955	0	18430
1	1955	0	18114
1	1956	0	18056
1	1956	0	18104
1	1957	0	18032
1	1957	0	18144
1	1958	0	18091
1	1958	0	17856
1	1959	0	17842
1	1959	0	17807
1	1960	0	17814
1	1960	0	17678
1	1961	0	17679
1	1961	0	18087
1	1962	0	18083
1	1962	0	18318
1	1963	0	18315
1	1963	0	18690
1	1964	0	18678
1	1964	0	19770
1	1965	0	19756
1	1965	0	19877
1	1966	0	19860
1	1966	0	20525
1	1967	0	20501
1	1967	0	21178
1	1968	0	21164
1	1968	0	19529
1	1969	0	19517
1	1969	0	17827
1	1970	0	17828
1	1970	0	17066
1	1971	0	17093
1	1971	0	17131
1	1972	0	17185
1	1972	0	18080
1	1973	0	18117
1	1973	0	18344
1	1974	0	18382
1	1974	0	17383
1	1975	0	17423
1	1975	0	17222
1	1976	0	17317
1	1976	0	17580
1	1977	0	17630
1	1977	0	15809
1	1978	0	15863
1	1978	0	15119
1	1979	0	15167
1	1979	0	15158
1	1980	0	15188
1	1980	0	14495
1	1981	0	14525
1	1981	0	14020
1	1982	0	14042
1	1982	0	13033
1	1983	0	13053
1	1983	0	12872
1	1984	0	12890
1	1984	0	12480
1	1985	0	12505
1	1985	0	12700
1	1986	0	12745
1	1986	0	13262
1	1987	0	13307
1	1987	0	13531
1	1988	0	13565
1	1988	0	13637
1	1989	0	13667
1	1989	0	14285
1	1990	0	14317
1	1990	0	14966
1	1991	0	15013
1	1991	0	15490
1	1992	0	15536
1	1992	0	15748
1	1993	0	15793
1	1993	0	16501
1	1994	0	16551
1	1994	0	16455
1	1995	0	16528
1	1995	0	17155
1	1996	0	17236
1	1996	0	17113
1	1997	0	17180
1	1997	0	16535
1	1998	0	16585
1	1998	0	16502
1	1999	0	16553
1	1999	0	16144
1	2000	0	16203
1	2000	0	16279
1	2001	0	16337
1	2001	0	16440
1	2002	0	16508
1	2002	0	16071
1	2003	0	16114
1	2003	0	15664
2	1943	0	16190
2	1943	0	16517
2	1944	0	16494
2	1944	0	18468
2	1945	0	18518
2	1945	0	19732
2	1946	0	19754
2	1946	0	21157
2	1947	0	21132
2	1947	0	22087
2	1948	0	22042
2	1948	0	22237
2	1949	0	22207
2	1949	0	21443
2	1950	0	21410
2	1950	0	20086
2	1951	0	20132
2	1951	0	18722
2	1952	0	18686
2	1952	0	18949
2	1953	0	18930
2	1953	0	17965
2	1954	0	17949
2	1954	0	18198
2	1955	0	18187
2	1955	0	18416
2	1956	0	18380
2	1956	0	18033
2	1957	0	17982
2	1957	0	17998
2	1958	0	17960
2	1958	0	18079
2	1959	0	18065
2	1959	0	17843
2	1960	0	17849
2	1960	0	17831
2	1961	0	17858
2	1961	0	17681
2	1962	0	17690
2	1962	0	18088
2	1963	0	18092
2	1963	0	18314
2	1964	0	18311
2	1964	0	18679
2	1965	0	18681
2	1965	0	19757
2	1966	0	19754
2	1966	0	19860
2	1967	0	19855
2	1967	0	20491
2	1968	0	20468
2	1968	0	21149
2	1969	0	21135
2	1969	0	19524
2	1970	0	19538
2	1970	0	17817
2	1971	0	17819
2	1971	0	17109
2	1972	0	17136
2	1972	0	17200
2	1973	0	17222
2	1973	0	18133
2	1974	0	18139
2	1974	0	18382
2	1975	0	18365
2	1975	0	17403
2	1976	0	17388
2	1976	0	17332
2	1977	0	17360
2	1977	0	17646
2	1978	0	17674
2	1978	0	15879
2	1979	0	15909
2	1979	0	15179
2	1980	0	15194
2	1980	0	15189
2	1981	0	15187
2	1981	0	14528
2	1982	0	14535
2	1982	0	14045
2	1983	0	14058
2	1983	0	13055
2	1984	0	13061
2	1984	0	12892
2	1985	0	12910
2	1985	0	12518
2	1986	0	12552
2	1986	0	12767
2	1987	0	12800
2	1987	0	13318
2	1988	0	13336
2	1988	0	13568
2	1989	0	13580
2	1989	0	13673
2	1990	0	13689
2	1990	0	14332
2	1991	0	14370
2	1991	0	15044
2	1992	0	15090
2	1992	0	15552
2	1993	0	15584
2	1993	0	15810
2	1994	0	15841
2	1994	0	16575
2	1995	0	16642
2	1995	0	16572
2	1996	0	16644
2	1996	0	17263
2	1997	0	17312
