time	low	medium	high
0	0.017	0.018	0.016
0.25	0.015	0.021	0.015
0.5	0.016	0.016	0.015
0.75	0.018	0.02	0.018
1	0.022	0.024	0.021
1.25	0.021	0.023	0.02
1.5	0.025	0.025	0.023
1.75	0.028	0.027	0.024
2	0.026	0.025	0.023
2.25	0.028	0.028	0.025
2.5	0.03	0.029	0.027
2.75	0.032	0.031	0.029
3	0.033	0.035	0.029
3.25	0.037	0.038	0.032
3.5	0.041	0.038	0.033
3.75	0.042	0.041	0.035
4	0.042	0.043	0.035
4.25	0.046	0.046	0.035
4.5	0.048	0.046	0.036
4.75	0.049	0.048	0.037
5	0.051	0.049	0.036
5.25	0.054	0.052	0.038
5.5	0.057	0.055	0.038
5.75	0.061	0.058	0.039
6	0.064	0.059	0.039
6.25	0.067	0.062	0.038
6.5	0.071	0.065	0.04
6.75	0.075	0.067	0.038
7	0.079	0.07	0.037
7.25	0.083	0.072	0.037
7.5	0.087	0.075	0.036
7.75	0.095	0.08	0.037
8	0.099	0.083	0.037
8.25	0.106	0.089	0.038
8.5	0.114	0.094	0.039
8.75	0.118	0.097	0.037
9	0.124	0.1	0.037
9.25	0.134	0.105	0.038
9.5	0.141	0.11	0.038
9.75	0.151	0.115	0.037
10	0.16	0.121	0.037
10.25	0.169	0.128	0.037
10.5	0.177	0.132	0.037
10.75	0.19	0.142	0.038
11	0.201	0.146	0.037
11.25	0.208	0.153	0.037
11.5	0.217	0.16	0.037
11.75	0.227	0.169	0.037
12	0.229	0.176	0.037
12.25	0.232	0.184	0.037
12.5	0.233	0.193	0.036
12.75	0.237	0.2	0.036
13	0.236	0.207	0.036
13.25	0.235	0.213	0.036
13.5	0.237	0.218	0.036
13.75	0.232	0.226	0.036
14	0.234	0.23	0.036
14.25	0.232	0.231	0.035
14.5	0.23	0.23	0.037
14.75	0.228	0.231	0.037
15	0.227	0.23	0.035
15.25	0.226	0.23	0.035
15.5	0.229	0.23	0.034
15.75	0.224	0.231	0.035
16	0.224	0.228	0.035
