A P D Y
40 1943   80  694046.50
40 1948   81  754769.50
40 1953   73  769440.67
40 1958   99  749264.50
40 1963   82  757240.00
40 1968   97  709558.50
40 1973   86  695210.17
40 1978   90  756263.00
40 1983  116  941402.00
40 1988  149 1026461.33
40 1993   91  752950.17
45 1943  135  622256.67
45 1948  163  676718.00
45 1953  208  738290.50
45 1958  226  754357.67
45 1963  252  737405.67
45 1968  284  747054.83
45 1973  263  697976.33
45 1978  251  681063.83
45 1983  257  741553.17
45 1988  265  924431.83
45 1993  251  821389.83
50 1943  197  538964.17
50 1948  292  600506.33
50 1953  442  653867.50
50 1958  508  715819.83
50 1963  560  733590.17
50 1968  580  717677.33
50 1973  657  724880.33
50 1978  608  675371.50
50 1983  591  659498.33
50 1988  493  719660.00
50 1993  446  700860.17
55 1943  261  471016.00
55 1948  404  512338.00
55 1953  596  571270.67
55 1958  772  622413.33
55 1963 1052  681097.00
55 1968 1075  699103.17
55 1973 1115  683242.67
55 1978 1218  686939.50
55 1983 1090  640796.83
55 1988  995  626481.33
55 1993  696  544088.17
60 1943  213  403172.50
60 1948  394  435098.33
60 1953  577  474197.50
60 1958  955  528106.33
60 1963 1342  573204.83
60 1968 1682  627036.33
60 1973 1654  644142.67
60 1978 1826  627509.17
60 1983 1885  630384.50
60 1988 1497  590669.00
60 1993 1113  463087.83
65 1943  141  328690.50
65 1948  273  357694.83
65 1953  491  386083.00
65 1958  868  419562.00
65 1963 1235  463265.17
65 1968 1856  501020.00
65 1973 2136  548399.50
65 1978 2231  564173.50
65 1983 2188  548586.17
65 1988 2193  553420.50
65 1993 1485  421467.67
70 1943  110  230090.83
70 1948  215  269235.83
70 1953  300  294786.67
70 1958  596  317388.00
70 1963  976  341288.33
70 1968 1448  373577.00
70 1973 1924  404348.83
70 1978 2283  442925.00
70 1983 2293  458828.33
70 1988 2157  448996.33
70 1993 1691  365932.67
75 1943   54  140110.67
75 1948  126  166641.83
75 1953  167  195729.83
75 1958  320  214930.33
75 1963  514  228793.50
75 1968  860  245932.00
75 1973 1213  268415.17
75 1978 1559  290162.33
75 1983 1824  319152.67
75 1988 1640  336461.67
75 1993 1221  262910.17
80 1943   20   67778.83
80 1948   57   80587.00
80 1953   87   98561.33
80 1958  157  116116.67
80 1963  220  125697.33
80 1968  390  136646.17
80 1973  573  150131.83
80 1978  753  163433.00
80 1983  881  175767.17
80 1988  837  196465.83
80 1993  716  168011.67
85 1943    7   24656.17
85 1948   10   28463.83
85 1953   23   34280.50
85 1958   48   42136.33
85 1963   72   49263.33
85 1968  110   56018.17
85 1973  176   63742.67
85 1978  213   71226.50
85 1983  307   77621.50
85 1988  286   85376.67
85 1993  262   74610.50
