A	P	D	Y
40	1943	80	694047
40	1948	81	754770
40	1953	73	769441
40	1958	99	749265
40	1963	82	757240
40	1968	97	709559
40	1973	86	695211
40	1978	90	756263
40	1983	116	941402
40	1988	149	1026462
40	1993	91	752951
45	1943	135	622257
45	1948	163	676718
45	1953	208	738291
45	1958	226	754358
45	1963	252	737406
45	1968	284	747055
45	1973	263	697977
45	1978	251	681064
45	1983	257	741554
45	1988	265	924432
45	1993	251	821390
50	1943	197	538965
50	1948	292	600507
50	1953	442	653868
50	1958	508	715820
50	1963	560	733591
50	1968	580	717678
50	1973	657	724881
50	1978	608	675372
50	1983	591	659499
50	1988	493	719660
50	1993	446	700861
55	1943	261	471016
55	1948	404	512338
55	1953	596	571271
55	1958	772	622414
55	1963	1052	681097
55	1968	1075	699104
55	1973	1115	683243
55	1978	1218	686940
55	1983	1090	640797
55	1988	995	626482
55	1993	696	544089
60	1943	213	403173
60	1948	394	435099
60	1953	577	474198
60	1958	955	528107
60	1963	1342	573205
60	1968	1682	627037
60	1973	1654	644143
60	1978	1826	627510
60	1983	1885	630385
60	1988	1497	590669
60	1993	1113	463088
65	1943	141	328691
65	1948	273	357695
65	1953	491	386083
65	1958	868	419562
65	1963	1235	463266
65	1968	1856	501020
65	1973	2136	548400
65	1978	2231	564174
65	1983	2188	548587
65	1988	2193	553421
65	1993	1485	421468
70	1943	110	230091
70	1948	215	269236
70	1953	300	294787
70	1958	596	317388
70	1963	976	341289
70	1968	1448	373577
70	1973	1924	404349
70	1978	2283	442925
70	1983	2293	458829
70	1988	2157	448997
70	1993	1691	365933
75	1943	54	140111
75	1948	126	166642
75	1953	167	195730
75	1958	320	214931
75	1963	514	228794
75	1968	860	245932
75	1973	1213	268416
75	1978	1559	290163
75	1983	1824	319153
75	1988	1640	336462
75	1993	1221	262911
80	1943	20	67779
80	1948	57	80587
80	1953	87	98562
80	1958	157	116117
80	1963	220	125698
80	1968	390	136647
80	1973	573	150132
80	1978	753	163433
80	1983	881	175768
80	1988	837	196466
80	1993	716	168012
85	1943	7	24657
85	1948	10	28464
85	1953	23	34281
85	1958	48	42137
85	1963	72	49264
85	1968	110	56019
85	1973	176	63743
85	1978	213	71227
85	1983	307	77622
85	1988	286	85377
85	1993	262	74611
