sex	year	deaths	population
1	1975	250	154715
1	1976	258	159773
1	1977	255	157757
1	1978	255	157700
1	1979	254	157310
1	1980	250	154933
1	1981	247	152810
1	1982	249	154222
1	1983	246	152183
1	1984	247	152633
1	1985	260	160769
1	1986	256	158288
1	1987	255	157620
1	1988	257	158928
1	1989	262	162167
1	1990	249	153706
1	1991	245	151541
1	1992	248	153624
1	1993	253	156215
1	1994	262	162176
1	1995	259	159922
1	1996	255	157503
1	1997	247	152920
2	1975	287	177510
2	1976	297	183516
2	1977	292	180607
2	1978	284	175681
2	1979	294	181576
2	1980	295	182195
2	1981	288	178369
2	1982	292	180374
2	1983	283	175285
2	1984	306	189301
2	1985	296	182944
2	1986	294	182076
2	1987	286	177132
2	1988	294	181620
2	1989	289	178983
2	1990	305	183239
2	1991	320	179032
2	1992	345	181253
2	1993	367	183678
2	1994	390	179346
2	1995	390	186132
2	1996	409	178784
2	1997	428	184347
