yrs  happy
10.0 21.6532 
12.0 20.2488 
12.0 28.8347 
 8.0 13.9754 
11.0 26.5029 
15.0 22.3995 
 9.0 15.8322 
12.0 22.2869 
 4.0 12.6429 
 8.0 16.1926 
14.0 19.8968 
10.0 20.7198 
10.0 22.6948 
11.0 20.3450 
11.0 20.4796 
22.0 23.0286 
10.0 19.5692 
11.0 24.2943 
14.0 25.7817 
13.0 25.3009 
10.0 17.5311 
20.0 25.2459 
20.0 21.4384 
11.0 18.7404 
15.0 30.3173 
 9.0 22.2635 
12.0 27.9997 
 4.0  8.9902 
 2.0  6.2025 
13.0 21.5296 
11.0 27.9904 
15.0 20.7014 
16.0 19.1831 
14.0 27.2232 
17.0 28.3729 
12.0 23.4218 
 2.0  5.2606 
 5.0 14.4306 
14.0 23.7771 
14.0 25.1100 
 5.0 15.7200 
10.0 24.6108 
10.0 22.1213 
12.0 24.4852 
13.0 26.9942 
 9.0 21.8239 
14.0 25.5853 
 9.0 26.0189 
11.0 23.3810 
 7.0 19.0773 
10.0 20.4393 
16.0 20.2455 
15.0 22.8212 
16.0 27.7986 
24.0 18.8662 
14.0 14.5189 
 6.0 21.0589 
14.0 23.2751 
10.0 25.3203 
15.0 21.7294 
13.0 28.1762 
16.0 22.4571 
10.0 15.5312 
 8.0 19.0723 
21.0 21.6790 
21.0 20.0627 
13.0 20.1690 
18.0 17.5580 
12.0 25.2832 
15.0 26.5736 
12.0 24.5746 
10.0 20.5882 
11.0 25.6697 
 8.0 20.6485 
 7.0 22.2823 
10.0 20.0133 
 6.0 14.9846 
12.0 16.8286 
15.0 22.5856 
15.0 29.3027 
18.0 24.0970 
11.0 23.5076 
 3.0  7.4765 
 8.0 20.3633 
13.0 25.3594 
16.0 24.1247 
 9.0 18.1428 
15.0 16.7278 
17.0 27.8671 
22.0 23.0446 
 6.0 17.0999 
19.0 20.8900 
12.0 20.8816 
11.0 21.2710 
 9.0 18.4827 
11.0 22.5439 
10.0 26.2377 
26.0 10.1197 
20.0 21.0130 
13.0 22.0586 
